genotype,m6a,A
Col-0,0.051704258,4.425659045
Col-0,0.021585906,2.293148935
Col-0,0.031023377,2.90377624
Col-0,0.026879023,2.674497072
vir-1,0.00318408,2.512245176
vir-1,0.003246056,2.656687633
vir-1,0.003352818,2.747061275
vir-1,0.002939701,2.503332037
fpa-8,0.029718794,3.109417144
fpa-8,0.033756333,3.391386934
fpa-8,0.039352388,3.882937407
fpa-8,0.028645085,2.875358956
35S::FPA:YFP,0.033475601,3.085790447
35S::FPA:YFP,0.02586809,2.454466084
35S::FPA:YFP,0.029228382,2.672754203
35S::FPA:YFP,0.027060359,2.623717096