sample,target,ct
WT 3042 input,RPP7_exon1,22.7928772
,,22.62081718
,,22.59709358
,,22.37853432
WT 3042 1+,RPP7_exon1,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
WT 3042 2+,RPP7_exon1,Undetermined
,,Undetermined
,,39.06151962
,,Undetermined
WT 3043 input,RPP7_exon1,22.04516983
,,22.01691818
,,22.08007431
,,21.95721245
WT 3043 1+,RPP7_exon1,44.90449142
,,Undetermined
,,Undetermined
,,37.72167587
WT 3043 2+,RPP7_exon1,35.1637764
,,36.39369965
,,35.11830902
,,35.81552887
35S 3047 input,RPP7_exon1,22.46866417
,,22.49275208
,,22.50381279
,,22.42454338
35S 3047 1+,RPP7_exon1,Undetermined
,,36.95949936
,,Undetermined
,,37.77052689
35S 3047 2+,RPP7_exon1,35.39210892
,,35.86781311
,,36.19419479
,,35.08850479
35S 3048 input,RPP7_exon1,22.27846146
,,22.18362999
,,22.24611092
,,22.1750927
35S 3048 1+,RPP7_exon1,39.40280533
,,Undetermined
,,Undetermined
,,Undetermined
35S 3048 2+,RPP7_exon1,36.22835922
,,35.73780823
,,36.22106552
,,35.61581802
WT 3042 input,RPP7_TE,19.73352051
,,19.76283836
,,19.77442741
,,19.67250443
WT 3042 1+,RPP7_TE,Undetermined
,,Undetermined
,,41.29485321
,,Undetermined
WT 3042 2+,RPP7_TE,47.60429382
,,Undetermined
,,48.897892
,,Undetermined
WT 3043 input,RPP7_TE,19.24885941
,,19.23717117
,,19.08305359
,,19.14720345
WT 3043 1+,RPP7_TE,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
WT 3043 2+,RPP7_TE,31.75743675
,,31.85254478
,,31.44772911
,,32.59608459
35S 3047 input,RPP7_TE,19.50894547
,,19.48318863
,,19.49687004
,,19.41116524
35S 3047 1+,RPP7_TE,32.51172256
,,32.01435852
,,33.95778656
,,missing?
35S 3047 2+,RPP7_TE,missing?
,,32.69197464
,,32.63594437
,,31.95067787
35S 3048 input,RPP7_TE,19.50325584
,,19.48134232
,,19.35058975
,,19.19130516
35S 3048 1+,RPP7_TE,44.58414078
,,Undetermined
,,Undetermined
,,Undetermined
35S 3048 2+,RPP7_TE,31.77803612
,,32.42185974
,,missing?
,,32.30551147
WT 3042 input,RPP7_PAS45_up,19.67142296
,,19.58360672
,,19.62627411
,,19.61974525
WT 3042 1+,RPP7_PAS45_up,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
WT 3042 2+,RPP7_PAS45_up,Undetermined
,,34.69460297
,,Undetermined
,,Undetermined
WT 3043 input,RPP7_PAS45_up,19.34749031
,,19.4563446
,,19.24435997
,,19.40786171
WT 3043 1+,RPP7_PAS45_up,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
WT 3043 2+,RPP7_PAS45_up,32.51888275
,,missing?
,,32.9029007
,,32.80402374
35S 3047 input,RPP7_PAS45_up,19.73116875
,,19.52139091
,,19.48949051
,,19.6897583
35S 3047 1+,RPP7_PAS45_up,34.5824585
,,34.23409271
,,32.467556
,,33.73925018
35S 3047 2+,RPP7_PAS45_up,34.63441849
,,31.88485527
,,32.21565247
,,33.42974854
35S 3048 input,RPP7_PAS45_up,19.74223709
,,19.66037941
,,19.34282684
,,19.47917938
35S 3048 1+,RPP7_PAS45_up,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
35S 3048 2+,RPP7_PAS45_up,32.43082047
,,33.41065598
,,32.62060165
,,32.63818741
WT 3042 input,RPP7_PAS45,17.19007874
,,16.95689201
,,16.97376442
,,17.21585083
WT 3042 1+,RPP7_PAS45,Undetermined
,,Undetermined
,,Undetermined
,,34.54866791
WT 3042 2+,RPP7_PAS45,Undetermined
,,Undetermined
,,35.38990402
,,Undetermined
WT 3043 input,RPP7_PAS45,16.63681412
,,16.5296402
,,16.7659111
,,16.84842491
WT 3043 1+,RPP7_PAS45,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
WT 3043 2+,RPP7_PAS45,30.00429153
,,29.95425797
,,30.20614052
,,30.15235329
35S 3047 input,RPP7_PAS45,16.81851768
,,16.96729279
,,16.95360947
,,17.13015747
35S 3047 1+,RPP7_PAS45,31.09778214
,,32.97016907
,,31.36024094
,,32.63514709
35S 3047 2+,RPP7_PAS45,29.78948021
,,30.18784904
,,30.58830452
,,30.58678627
35S 3048 input,RPP7_PAS45,16.82226563
,,16.7881813
,,16.84806442
,,17.09555244
35S 3048 1+,RPP7_PAS45,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
35S 3048 2+,RPP7_PAS45,30.24486732
,,30.37182808
,,30.00431824
,,Undetermined
WT 3042 input,RPP7_PAS45_down,17.56585693
,,17.64882851
,,17.68095207
,,17.65274048
WT 3042 1+,RPP7_PAS45_down,35.30004501
,,Undetermined
,,Undetermined
,,Undetermined
WT 3042 2+,RPP7_PAS45_down,Undetermined
,,Undetermined
,,34.87240982
,,Undetermined
WT 3043 input,RPP7_PAS45_down,17.37071419
,,17.32282639
,,17.41515541
,,17.49917603
WT 3043 1+,RPP7_PAS45_down,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
WT 3043 2+,RPP7_PAS45_down,30.55370522
,,31.5841198
,,30.19592094
,,31.44404221
35S 3047 input,RPP7_PAS45_down,17.75284767
,,17.53344727
,,17.73342896
,,17.64975357
35S 3047 1+,RPP7_PAS45_down,32.77491379
,,32.80250931
,,31.87813759
,,34.34200287
35S 3047 2+,RPP7_PAS45_down,32.64468765
,,31.37867737
,,31.45054817
,,31.39413834
35S 3048 input,RPP7_PAS45_down,17.63308907
,,17.59069061
,,17.62758064
,,17.42014885
35S 3048 1+,RPP7_PAS45_down,Undetermined
,,35.68120193
,,Undetermined
,,Undetermined
35S 3048 2+,RPP7_PAS45_down,30.84072113
,,31.65509415
,,31.33384895
,,31.18328857
WT 3042 input,Actin,20.24175262
,,20.22523308
,,20.22625351
,,20.31347847
WT 3042 1+,Actin,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
WT 3042 2+,Actin,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
WT 3043 input,Actin,19.62615967
,,19.55905724
,,19.69334793
,,19.70539284
WT 3043 1+,Actin,Undetermined
,,Undetermined
,,36.13436127
,,Undetermined
WT 3043 2+,Actin,32.96946716
,,27.42691994
,,33.31549072
,,32.62839508
35S 3047 input,Actin,19.80835533
,,19.71887016
,,19.8662262
,,19.85677338
35S 3047 1+,Actin,34.60662079
,,38.43645477
,,33.74417877
,,Undetermined
35S 3047 2+,Actin,33.87943268
,,33.33296585
,,33.35675812
,,33.74059296
35S 3048 input,Actin,19.629776
,,19.67432404
,,19.74283981
,,19.81333923
35S 3048 1+,Actin,Undetermined
,,Undetermined
,,Undetermined
,,Undetermined
35S 3048 2+,Actin,32.34197998
,,33.24423599
,,32.65500259
,,32.1421814